Tanggal,mean_wib,mean_wita,mean_wit
2020-01-01,12817.0,14021.0,15012.0
2020-01-02,12817.0,14021.0,15012.0
2020-01-03,12836.0,14033.0,15012.0
2020-01-04,12836.0,14033.0,15012.0
2020-01-05,12836.0,14033.0,15012.0
2020-01-06,12925.0,14075.0,15062.0
2020-01-07,12975.0,14108.0,15062.0
2020-01-08,12961.0,14108.0,15062.0
2020-01-09,12978.0,14117.0,15075.0
2020-01-10,12997.0,14112.0,15062.0
2020-01-11,12997.0,14112.0,15062.0
2020-01-12,12997.0,14112.0,15062.0
2020-01-13,13078.0,14175.0,15062.0
2020-01-14,13125.0,14204.0,15062.0
2020-01-15,13147.0,14192.0,15075.0
2020-01-16,13153.0,14188.0,15038.0
2020-01-17,13164.0,14229.0,15075.0
2020-01-18,13164.0,14229.0,15075.0
2020-01-19,13164.0,14229.0,15075.0
2020-01-20,13169.0,14221.0,15088.0
2020-01-21,13178.0,14279.0,15112.0
2020-01-22,13192.0,14271.0,15175.0
2020-01-23,13200.0,14275.0,15175.0
2020-01-24,13206.0,14262.0,15175.0
2020-01-25,13206.0,14262.0,15175.0
2020-01-26,13206.0,14262.0,15175.0
2020-01-27,13208.0,14212.0,15175.0
2020-01-28,13208.0,14312.0,15175.0
2020-01-29,13208.0,14312.0,15175.0
2020-01-30,13214.0,14292.0,15138.0
2020-01-31,13211.0,14283.0,15175.0
2020-02-01,13211.0,14283.0,15175.0
2020-02-02,13211.0,14283.0,15175.0
2020-02-03,13225.0,14262.0,15175.0
2020-02-04,13217.0,14250.0,15175.0
2020-02-05,13225.0,14242.0,15175.0
2020-02-06,13211.0,14233.0,15162.0
2020-02-07,13194.0,14179.0,15200.0
2020-02-08,13194.0,14179.0,15200.0
2020-02-09,13194.0,14179.0,15200.0
2020-02-10,13181.0,14204.0,15212.0
2020-02-11,13172.0,14208.0,15238.0
2020-02-12,13161.0,14221.0,15238.0
2020-02-13,13147.0,14221.0,15238.0
2020-02-14,13150.0,14217.0,15238.0
2020-02-15,13150.0,14217.0,15238.0
2020-02-16,13150.0,14217.0,15238.0
2020-02-17,13136.0,14200.0,15238.0
2020-02-18,13111.0,14212.0,15238.0
2020-02-19,13111.0,14225.0,15238.0
2020-02-20,13100.0,14217.0,15238.0
2020-02-21,13106.0,14225.0,15238.0
