No.,Provinsi,Jan 2020 (I),Jan 2020 (II),Jan 2020 (III),Jan 2020 (IV),Feb 2020 (I),Feb 2020 (II),Feb 2020 (III),Feb 2020 (IV),Mar 2020 (I),Mar 2020 (II),Mar 2020 (III),Mar 2020 (IV),Mar 2020 (V),Apr 2020 (I),Apr 2020 (II),Apr 2020 (III),Apr 2020 (IV),Mei 2020 (I),Mei 2020 (II),Mei 2020 (III),Mei 2020 (IV),Jun 2020 (I),Jun 2020 (II),Jun 2020 (III),Jun 2020 (IV),Jun 2020 (V),Jul 2020 (I),Jul 2020 (II),Jul 2020 (III),Jul 2020 (IV),Agu 2020 (I),Agu 2020 (II),Agu 2020 (III),Agu 2020 (IV),Agu 2020 (V),Sep 2020 (I),Sep 2020 (II),Sep 2020 (III),Sep 2020 (IV),Okt 2020 (I),Okt 2020 (II),Okt 2020 (III),Okt 2020 (IV),Nov 2020 (I),Nov 2020 (II),Nov 2020 (III),Nov 2020 (IV),Nov 2020 (V),Des 2020 (I),Des 2020 (II),Des 2020 (III),Des 2020 (IV),Jan 2021 (I),Jan 2021 (II),Jan 2021 (III),Jan 2021 (IV),Feb 2021 (I),Feb 2021 (II),Feb 2021 (III),Feb 2021 (IV),Mar 2021 (I),Mar 2021 (II),Mar 2021 (III),Mar 2021 (IV),Mar 2021 (V),Apr 2021 (I),Apr 2021 (II),Apr 2021 (III),Apr 2021 (IV),Mei 2021 (I),Mei 2021 (II),Mei 2021 (III),Mei 2021 (IV),Mei 2021 (V),Jun 2021 (I),Jun 2021 (II),Jun 2021 (III),Jun 2021 (IV),Jul 2021 (I),Jul 2021 (II),Jul 2021 (III),Jul 2021 (IV),Agu 2021 (I),Agu 2021 (II),Agu 2021 (III),Agu 2021 (IV),Agu 2021 (V),Sep 2021 (I),Sep 2021 (II),Sep 2021 (III),Sep 2021 (IV),Okt 2021 (I),Okt 2021 (II),Okt 2021 (III),Okt 2021 (IV),Nov 2021 (I),Nov 2021 (II),Nov 2021 (III),Nov 2021 (IV),Nov 2021 (V),Des 2021 (I),Des 2021 (II),Des 2021 (III),Des 2021 (IV),Jan 2022 (I),Jan 2022 (II),Jan 2022 (III),Jan 2022 (IV),Jan 2022 (V),Feb 2022 (I),Feb 2022 (II),Feb 2022 (III),Feb 2022 (IV),Mar 2022 (I),Mar 2022 (II),Mar 2022 (III),Mar 2022 (IV),Apr 2022 (I),Apr 2022 (II),Apr 2022 (III),Apr 2022 (IV),Mei 2022 (I),Mei 2022 (II)
I,SEMUA PROVINSI,13600.0,13750.0,13800.0,13800.0,13800.0,13750.0,13750.0,13800.0,13800.0,13750.0,13750.0,13700.0,13750.0,13800.0,13800.0,13800.0,13750.0,13750.0,13700.0,13700.0,13650.0,13650.0,13650.0,13600.0,13600.0,13600.0,13550.0,13550.0,13600.0,13700.0,13700.0,13750.0,13800.0,13850.0,13850.0,13950.0,14000.0,14100.0,14150.0,14150.0,14150.0,14150.0,14250.0,14250.0,14300.0,14350.0,14350.0,14400.0,14400.0,14400.0,14450.0,14400.0,14500.0,14500.0,14500.0,14500.0,14500.0,14500.0,14500.0,14500.0,14550.0,14600.0,14650.0,14700.0,14700.0,14800.0,14800.0,14850.0,14900.0,15000.0,15050.0,15150.0,15250.0,15250.0,15250.0,15300.0,15350.0,15300.0,15300.0,15350.0,15400.0,15500.0,15650.0,15700.0,15800.0,15850.0,15900.0,16000.0,16050.0,16100.0,16150.0,16200.0,16550.0,16800.0,17100.0,17550.0,18000.0,18300.0,18550.0,18800.0,19200.0,19350.0,19550.0,19750.0,20050.0,20200.0,20350.0,20150.0,19500.0,18900.0,18700.0,18450.0,18500.0,19150.0,19600.0,22850.0,23800.0,24100.0,24350.0,24550.0,24600.0,22500.0,24500.0
II,ACEH,13750.0,13800.0,14050.0,14050.0,14050.0,13900.0,13900.0,13850.0,13800.0,13850.0,13800.0,13700.0,13800.0,13750.0,13800.0,13800.0,13800.0,13800.0,13700.0,13600.0,13550.0,13500.0,13500.0,13500.0,13500.0,13450.0,13450.0,13550.0,13550.0,13750.0,13750.0,13750.0,13750.0,13750.0,13750.0,13750.0,13800.0,13950.0,14000.0,14000.0,13950.0,14000.0,14050.0,14100.0,14100.0,14150.0,14150.0,14250.0,14350.0,14350.0,14350.0,14400.0,14400.0,14350.0,14350.0,14450.0,14450.0,14500.0,14400.0,14400.0,14550.0,14650.0,14650.0,14600.0,14600.0,14600.0,14600.0,14600.0,14650.0,14850.0,15200.0,15200.0,15250.0,15400.0,15250.0,15250.0,15100.0,15200.0,15250.0,15250.0,15300.0,15300.0,15600.0,15750.0,15850.0,16000.0,16150.0,16150.0,16150.0,16150.0,16150.0,16150.0,16350.0,16700.0,16850.0,17300.0,17750.0,18150.0,18450.0,18950.0,19450.0,19450.0,19700.0,20000.0,20250.0,20500.0,20650.0,20750.0,20750.0,20750.0,20050.0,18700.0,17950.0,15850.0,15700.0,17300.0,18550.0,19250.0,19350.0,20650.0,20800.0,22500.0,20900.0
III,SUMATERA UTARA,12800.0,12950.0,13050.0,13050.0,13050.0,13000.0,13000.0,13000.0,12900.0,12900.0,12900.0,12900.0,12900.0,12900.0,12900.0,12850.0,12900.0,12800.0,12800.0,12800.0,12800.0,12700.0,12700.0,12800.0,12700.0,12700.0,12650.0,12650.0,12700.0,12800.0,12900.0,12900.0,12900.0,12900.0,13000.0,13100.0,13100.0,13250.0,13350.0,13400.0,13400.0,13400.0,13500.0,13500.0,13550.0,13600.0,13600.0,13650.0,13750.0,13800.0,14050.0,14050.0,14100.0,14250.0,14300.0,14300.0,14250.0,14250.0,14250.0,14250.0,14450.0,14550.0,14550.0,14650.0,14650.0,14650.0,14650.0,14700.0,14750.0,14800.0,14900.0,15000.0,15050.0,15100.0,15150.0,15150.0,15150.0,15200.0,15250.0,15250.0,15400.0,15550.0,15700.0,15800.0,16000.0,16050.0,16100.0,16150.0,16200.0,16200.0,16200.0,16200.0,16500.0,16800.0,17200.0,18000.0,18250.0,18500.0,18500.0,18650.0,18700.0,18850.0,18850.0,18800.0,19150.0,19400.0,19800.0,20000.0,19700.0,19550.0,20300.0,19800.0,19550.0,18950.0,18600.0,19650.0,21250.0,21150.0,21250.0,21150.0,21250.0,22500.0,21350.0
IV,SUMATERA BARAT,13200.0,13600.0,13600.0,13650.0,13550.0,13350.0,13300.0,13300.0,13200.0,13100.0,13100.0,12950.0,13000.0,13050.0,13100.0,13000.0,13000.0,13000.0,12850.0,12800.0,12650.0,12600.0,12550.0,12500.0,12500.0,12400.0,12500.0,12500.0,12750.0,12950.0,13000.0,13100.0,13150.0,13200.0,13250.0,13400.0,13450.0,13700.0,13800.0,13750.0,13650.0,13700.0,13750.0,14000.0,13750.0,13850.0,13850.0,13900.0,13900.0,13900.0,13800.0,13600.0,13800.0,13950.0,14100.0,14200.0,14100.0,13850.0,13900.0,13900.0,13950.0,13950.0,14150.0,14450.0,14450.0,14450.0,14200.0,14200.0,14550.0,14550.0,14750.0,14800.0,14950.0,14950.0,15050.0,14750.0,14700.0,14550.0,14500.0,14550.0,14350.0,14900.0,15700.0,15900.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16350.0,17000.0,17550.0,17750.0,17850.0,18150.0,18400.0,18450.0,18650.0,18700.0,18750.0,18600.0,18700.0,19050.0,19250.0,19650.0,18750.0,17300.0,15850.0,16300.0,16150.0,15850.0,15850.0,15750.0,20700.0,21800.0,21950.0,21850.0,22100.0,21950.0,22500.0,21950.0
V,RIAU,13250.0,13550.0,13550.0,13700.0,13550.0,13550.0,13550.0,13450.0,13400.0,13200.0,13150.0,13100.0,13100.0,13150.0,13200.0,13200.0,13200.0,13200.0,13050.0,12950.0,12950.0,12850.0,12850.0,12850.0,12850.0,12850.0,12850.0,12850.0,12950.0,13000.0,13100.0,13100.0,13300.0,13400.0,13400.0,13400.0,13450.0,13650.0,13800.0,13850.0,13850.0,13850.0,13900.0,13900.0,13850.0,13850.0,13850.0,13950.0,13850.0,13850.0,13950.0,13950.0,13950.0,13950.0,13950.0,14050.0,14050.0,14000.0,14000.0,13900.0,14100.0,14100.0,14050.0,14150.0,14150.0,14150.0,14200.0,14200.0,14200.0,14150.0,14350.0,14400.0,14650.0,14650.0,14650.0,14700.0,14650.0,14550.0,14400.0,14500.0,14600.0,14750.0,14900.0,15300.0,15450.0,15650.0,15950.0,15950.0,16000.0,16000.0,16200.0,16200.0,16300.0,16500.0,16900.0,17050.0,17950.0,18100.0,18750.0,18800.0,18800.0,18850.0,18300.0,19150.0,19150.0,19300.0,19400.0,19500.0,19500.0,17750.0,17750.0,17550.0,16700.0,16150.0,15900.0,19900.0,22150.0,22350.0,22150.0,22150.0,22150.0,22500.0,22150.0
VI,KEPULAUAN RIAU,12400.0,12450.0,12500.0,12400.0,12450.0,12450.0,12600.0,12600.0,12600.0,12600.0,12600.0,12600.0,12700.0,12850.0,12850.0,13050.0,13100.0,13000.0,12900.0,12850.0,12850.0,12650.0,12650.0,12600.0,12600.0,12600.0,12650.0,12650.0,12650.0,12600.0,12600.0,12550.0,12550.0,12600.0,13050.0,13050.0,13000.0,13050.0,13150.0,13200.0,13250.0,13250.0,13200.0,13200.0,13200.0,13250.0,13250.0,13300.0,13200.0,13150.0,13150.0,13150.0,13200.0,13250.0,13350.0,13450.0,13400.0,13400.0,13400.0,13400.0,13400.0,13400.0,13450.0,13450.0,13450.0,13450.0,13650.0,13650.0,13950.0,13950.0,14000.0,14000.0,14000.0,14050.0,13850.0,13550.0,13550.0,13850.0,13850.0,13850.0,13850.0,13850.0,14000.0,14000.0,14000.0,14000.0,14000.0,14200.0,14500.0,14650.0,14800.0,14850.0,15150.0,15800.0,15850.0,16700.0,16700.0,17400.0,17950.0,18050.0,18050.0,18850.0,20650.0,19000.0,19400.0,19350.0,19350.0,18950.0,17250.0,15650.0,15650.0,16150.0,15900.0,15900.0,15750.0,21200.0,21200.0,21700.0,21700.0,22300.0,22300.0,22500.0,21350.0
VII,JAMBI,12550.0,12600.0,12600.0,12800.0,12750.0,12650.0,12650.0,12650.0,12600.0,12450.0,12400.0,12400.0,12450.0,12450.0,12500.0,12500.0,12500.0,12250.0,12250.0,12200.0,12200.0,12050.0,12050.0,12050.0,12050.0,12050.0,12050.0,12050.0,12250.0,12250.0,12400.0,12600.0,12750.0,12750.0,12750.0,12900.0,12900.0,12950.0,13100.0,13150.0,13300.0,13300.0,13300.0,13300.0,13350.0,13350.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13600.0,13600.0,13550.0,13550.0,13550.0,13550.0,13550.0,13550.0,13650.0,13650.0,13900.0,13950.0,14000.0,14000.0,14000.0,14050.0,14050.0,14200.0,14200.0,14200.0,14200.0,14200.0,14150.0,14400.0,14450.0,14450.0,14450.0,14950.0,15000.0,15000.0,15650.0,15700.0,15700.0,15700.0,15700.0,15700.0,15700.0,15850.0,16350.0,16350.0,16450.0,16600.0,17200.0,17200.0,17850.0,18300.0,18350.0,18350.0,18350.0,18400.0,18400.0,18650.0,18700.0,18700.0,18700.0,18700.0,18700.0,18700.0,18700.0,18700.0,18100.0,22400.0,22550.0,22550.0,22550.0,22550.0,22500.0,22550.0
VIII,BENGKULU,12250.0,12250.0,12550.0,12550.0,12550.0,12550.0,12550.0,12750.0,13300.0,13400.0,13400.0,13400.0,13400.0,13400.0,13400.0,13400.0,13400.0,13400.0,13400.0,13400.0,13400.0,13400.0,13400.0,13300.0,13300.0,13300.0,13300.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12950.0,12850.0,13100.0,13100.0,13100.0,13100.0,13100.0,13100.0,13100.0,13100.0,13100.0,13100.0,13100.0,13350.0,13350.0,13350.0,13350.0,13350.0,13300.0,13350.0,13350.0,14400.0,14400.0,14450.0,14400.0,14450.0,14450.0,14500.0,14550.0,14550.0,14650.0,15000.0,15050.0,15050.0,14800.0,14800.0,14800.0,14700.0,14900.0,15200.0,15350.0,15350.0,15350.0,15350.0,15350.0,15450.0,15500.0,15500.0,15900.0,15900.0,16850.0,16900.0,17550.0,17550.0,17850.0,18300.0,18650.0,18850.0,18850.0,18900.0,19400.0,19450.0,19500.0,19500.0,13850.0,13850.0,13850.0,18536.764705882357,18904.41176470588,13850.0,19050.0,19850.0,19850.0,21350.0,21450.0,21550.0,22500.0,21550.0
IX,SUMATERA SELATAN,13150.0,13250.0,13500.0,13450.0,13400.0,13350.0,13100.0,13050.0,13050.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,12950.0,12950.0,12850.0,12700.0,12650.0,12650.0,12650.0,12650.0,12650.0,12800.0,13000.0,13100.0,13250.0,13250.0,13350.0,13450.0,13450.0,13550.0,13550.0,13550.0,13550.0,13550.0,13550.0,13600.0,13600.0,13650.0,13650.0,13650.0,13750.0,13700.0,13700.0,13700.0,13700.0,13750.0,13750.0,13750.0,13750.0,13750.0,13750.0,13750.0,13750.0,13750.0,13750.0,13800.0,13850.0,14250.0,14250.0,14250.0,14250.0,14250.0,14450.0,14500.0,14500.0,14550.0,14550.0,14700.0,14700.0,14700.0,14750.0,14800.0,14800.0,14650.0,14650.0,15350.0,15450.0,15500.0,15700.0,15750.0,15800.0,15800.0,16000.0,16000.0,16100.0,16900.0,17400.0,17500.0,17500.0,19400.0,19600.0,19550.0,19600.0,19600.0,19650.0,19650.0,19650.0,19600.0,19600.0,19600.0,19600.0,19600.0,19550.0,18850.0,18250.0,16600.0,16850.0,16850.0,22300.0,21750.0,23750.0,23100.0,22800.0,23150.0,22500.0,23050.0
X,KEPULAUAN BANGKA BELITUNG,12400.0,12100.0,12050.0,12050.0,12700.0,12800.0,12600.0,12700.0,12700.0,13100.0,13250.0,13400.0,13300.0,13300.0,13450.0,13550.0,13500.0,13500.0,13150.0,13150.0,13200.0,13200.0,13200.0,13200.0,13200.0,13400.0,13150.0,13150.0,13150.0,13150.0,13150.0,13150.0,13150.0,13150.0,13200.0,13300.0,13300.0,13300.0,13300.0,13300.0,13300.0,13250.0,13250.0,13250.0,13250.0,13250.0,13450.0,13450.0,13450.0,13450.0,13450.0,13450.0,13450.0,13400.0,13400.0,13400.0,13450.0,13450.0,13450.0,13450.0,13500.0,13500.0,13500.0,13500.0,13600.0,13600.0,13650.0,13800.0,13850.0,14300.0,14300.0,14300.0,14300.0,14150.0,14150.0,14150.0,14150.0,14350.0,14350.0,14350.0,14350.0,14350.0,14350.0,14400.0,14350.0,14350.0,14400.0,14400.0,14750.0,15000.0,15300.0,15300.0,16600.0,17500.0,17500.0,17850.0,19200.0,19400.0,19900.0,19800.0,19850.0,19800.0,19450.0,19450.0,19350.0,19350.0,19350.0,18850.0,17150.0,17150.0,15900.0,15900.0,15900.0,15900.0,14200.0,25050.0,25100.0,24650.0,24900.0,24650.0,24650.0,22500.0,23900.0
