No.,Provinsi,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022
I,SEMUA PROVINSI,13700.0,13800.0,13750.0,13800.0,13700.0,13600.0,13600.0,13750.0,14000.0,14150.0,14300.0,14400.0,14500.0,14500.0,14650.0,14850.0,15100.0,15300.0,15400.0,15750.0,16050.0,16650.0,18150.0,19400.0,20150.0,18800.0,20850.0,24400.0,24450.0,
II,ACEH,13600.0,14050.0,13800.0,13800.0,13800.0,13500.0,13450.0,13750.0,13750.0,14000.0,14100.0,14250.0,14400.0,14450.0,14550.0,14600.0,14850.0,15400.0,15250.0,15600.0,16150.0,16150.0,17300.0,18950.0,20250.0,20750.0,17950.0,20100.0,20900.0,
III,SUMATERA UTARA,12750.0,13050.0,12900.0,12900.0,12800.0,12700.0,12650.0,12900.0,13100.0,13350.0,13500.0,13650.0,14100.0,14250.0,14450.0,14650.0,14800.0,15150.0,15300.0,15700.0,16100.0,16150.0,18000.0,18700.0,19150.0,19700.0,19550.0,21200.0,21350.0,
IV,SUMATERA BARAT,13050.0,13550.0,13200.0,13000.0,13000.0,12600.0,12500.0,13000.0,13250.0,13800.0,14000.0,13900.0,13800.0,14100.0,13950.0,14450.0,14550.0,14900.0,14450.0,15700.0,16000.0,16000.0,17850.0,18600.0,19050.0,17300.0,15850.0,21800.0,21950.0,
V,RIAU,13050.0,13550.0,13400.0,13100.0,13200.0,12850.0,12850.0,13100.0,13400.0,13850.0,13900.0,13950.0,13950.0,14050.0,14100.0,14150.0,14150.0,14650.0,14450.0,14900.0,15950.0,16200.0,17050.0,18800.0,19150.0,19250.0,16700.0,22250.0,22150.0,
VI,KEPULAUAN RIAU,12450.0,12450.0,12600.0,12850.0,13600.0,12650.0,12600.0,12600.0,13050.0,13200.0,13200.0,13300.0,13200.0,13400.0,13400.0,13450.0,13950.0,14000.0,13850.0,14000.0,14000.0,14850.0,16700.0,18050.0,19400.0,15800.0,15900.0,21700.0,21350.0,
VII,JAMBI,12500.0,12750.0,12600.0,12450.0,12250.0,12050.0,12050.0,12400.0,12750.0,13150.0,13300.0,13500.0,13500.0,13600.0,13550.0,13650.0,14000.0,14200.0,14250.0,14950.0,15700.0,15700.0,16450.0,18150.0,18400.0,18700.0,18700.0,22550.0,22550.0,
VIII,BENGKULU,12250.0,12550.0,13300.0,13400.0,13400.0,13400.0,13300.0,12950.0,12950.0,12950.0,12950.0,13100.0,13100.0,13100.0,13350.0,13350.0,14400.0,14550.0,15050.0,14700.0,15350.0,15500.0,16850.0,17850.0,18900.0,19500.0,13850.0,19850.0,21550.0,
IX,SUMATERA SELATAN,13100.0,13400.0,13050.0,13000.0,12850.0,12850.0,12650.0,13100.0,13450.0,13550.0,13600.0,13750.0,13750.0,13750.0,13750.0,14250.0,14450.0,14550.0,14700.0,15350.0,15750.0,16000.0,17500.0,19600.0,19600.0,19600.0,16600.0,22900.0,23050.0,
X,KEPULAUAN BANGKA BELITUNG,12400.0,12700.0,12700.0,13300.0,13500.0,13200.0,13400.0,13150.0,13200.0,13300.0,13250.0,13450.0,13450.0,13450.0,13500.0,13600.0,14300.0,14150.0,14350.0,14350.0,14400.0,14650.0,17850.0,19850.0,19350.0,17150.0,15900.0,24650.0,23900.0,
